WHOME
0
48
0
41
36
0
0
44
39
38
0
48
56
0
0
0
34
0
0
25
29
40
0
0
0
0
0
0
0
0
41
43
0
33
59
54
19
0
0
0
50
55
25
0
0
0
0
15
0
