STATE;W
Georgia;38
Massachusetts;25
North Carolina;43
Illinois;48
Ohio;33
Texas;55
Colorado;36
Michigan;29
California;41
Indiana;56
Tennessee;50
Florida;39
Wisconsin;15
Minnesota;40
Lousiana;34
New York;41
Oklahoma;59
Pennsylvania;19
Arizona;48
Oregon;54
Ontario;48
Utah;25
District of Columbia;44
